run_id,model,dataset,dataset_name,dataset_path,request_rate,burstiness,num_prompts,micro_batch,max_model_len,host,port,pp_size,tp_size,dtype,seed
E11_M=4_s2,Qwen/Qwen2.5-7B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,4,4096,127.0.0.1,8000,2,1,float16,2
E12_M=1_s0,Qwen/Qwen2.5-14B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,1,4096,127.0.0.1,8000,2,1,float16,0
E12_M=1_s1,Qwen/Qwen2.5-14B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,1,4096,127.0.0.1,8000,2,1,float16,1
E12_M=1_s2,Qwen/Qwen2.5-14B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,1,4096,127.0.0.1,8000,2,1,float16,2
E12_M=2_s0,Qwen/Qwen2.5-14B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,2,4096,127.0.0.1,8000,2,1,float16,0
E12_M=2_s1,Qwen/Qwen2.5-14B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,2,4096,127.0.0.1,8000,2,1,float16,1
E12_M=2_s2,Qwen/Qwen2.5-14B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,2,4096,127.0.0.1,8000,2,1,float16,2
E12_M=4_s0,Qwen/Qwen2.5-14B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,4,4096,127.0.0.1,8000,2,1,float16,0
E12_M=4_s1,Qwen/Qwen2.5-14B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,4,4096,127.0.0.1,8000,2,1,float16,1
E12_M=4_s2,Qwen/Qwen2.5-14B,ShareGPT,sharegpt,/workspace/DATASET/ShareGPT/ShareGPT_V3_unfiltered_cleaned_split.json,2.0,0.25,200,4,4096,127.0.0.1,8000,2,1,float16,2
E13_M=1_s0,Qwen/Qwen2.5-3B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,0.25,1.0,200,1,4096,127.0.0.1,8000,2,1,float16,0
E13_M=2_s0,Qwen/Qwen2.5-3B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,0.25,1.0,200,2,4096,127.0.0.1,8000,2,1,float16,0
E13_M=4_s0,Qwen/Qwen2.5-3B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,0.25,1.0,200,4,4096,127.0.0.1,8000,2,1,float16,0
E14_M=1_s0,Qwen/Qwen2.5-7B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,0.25,1.0,200,1,4096,127.0.0.1,8000,2,1,float16,0
E14_M=2_s0,Qwen/Qwen2.5-7B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,0.25,1.0,200,2,4096,127.0.0.1,8000,2,1,float16,0
E14_M=4_s0,Qwen/Qwen2.5-7B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,0.25,1.0,200,4,4096,127.0.0.1,8000,2,1,float16,0
E15_M=1_s0,Qwen/Qwen2.5-14B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,0.25,1.0,200,1,4096,127.0.0.1,8000,2,1,float16,0
E15_M=2_s0,Qwen/Qwen2.5-14B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,0.25,1.0,200,2,4096,127.0.0.1,8000,2,1,float16,0
E15_M=4_s0,Qwen/Qwen2.5-14B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,0.25,1.0,200,4,4096,127.0.0.1,8000,2,1,float16,0
E16_M=1_s0,Qwen/Qwen2.5-3B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,1.0,200,1,4096,127.0.0.1,8000,2,1,float16,0
E16_M=2_s0,Qwen/Qwen2.5-3B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,1.0,200,2,4096,127.0.0.1,8000,2,1,float16,0
E16_M=4_s0,Qwen/Qwen2.5-3B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,1.0,200,4,4096,127.0.0.1,8000,2,1,float16,0
E17_M=1_s0,Qwen/Qwen2.5-7B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,1.0,200,1,4096,127.0.0.1,8000,2,1,float16,0
E17_M=2_s0,Qwen/Qwen2.5-7B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,1.0,200,2,4096,127.0.0.1,8000,2,1,float16,0
E17_M=4_s0,Qwen/Qwen2.5-7B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,1.0,200,4,4096,127.0.0.1,8000,2,1,float16,0
E18_M=1_s0,Qwen/Qwen2.5-14B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,1.0,200,1,4096,127.0.0.1,8000,2,1,float16,0
E18_M=2_s0,Qwen/Qwen2.5-14B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,1.0,200,2,4096,127.0.0.1,8000,2,1,float16,0
E18_M=4_s0,Qwen/Qwen2.5-14B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,1.0,200,4,4096,127.0.0.1,8000,2,1,float16,0
E19_M=1_s0,Qwen/Qwen2.5-3B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.5,200,1,4096,127.0.0.1,8000,2,1,float16,0
E19_M=2_s0,Qwen/Qwen2.5-3B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.5,200,2,4096,127.0.0.1,8000,2,1,float16,0
E19_M=4_s0,Qwen/Qwen2.5-3B,APBench,custom,/workspace/DATASET/APBench/APBench_vllm_custom.jsonl,1.0,0.5,200,4,4096,127.0.0.1,8000,2,1,float16,0
