run_id,scenario_id,dataset,scenario,model_label,model,request_rate,burstiness,seed,num_prompts,micro_batch,dataset_name,dataset_path,success,failed,duration_s,req_s,out_tok_s,total_tok_s,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,p99_itl_ms,pp_makespan_ms,bubble_pct,overlap_pct,idle_pct,avg_power_w,max_power_w,energy_j,energy_per_request_j,energy_per_output_token_j,tokens_per_joule,output_tokens_per_second_per_watt
0105_E09_GovReport-GAO-3.5K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-4,E09,GovReport-GAO-3.5K,medium_poisson,14B,Qwen/Qwen2.5-14B,0.104325049,1,0,200,4,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.5K.jsonl,200,0,2090.5318167759106,0.09566943607127053,9.701359164807188,445.47611881662476,16806.981607780326,64865.07865031715,1841.6342430733778,2518.2022232333643,1832.3204910213835,4654.553796490654,868.633,29.23,68.23,,102.42082540854845,167.0,215113.42608976364,1075.5671304488183,10.606647901472494,0.09428049363844468,0.09472057197458862
0106_E12_GovReport-GAO-3.5K_high_poisson_14B_qps-auto-high_burst-1_seed-0_mb-1,E12,GovReport-GAO-3.5K,high_poisson,14B,Qwen/Qwen2.5-14B,0.208650098,1,0,200,1,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.5K.jsonl,200,0,1969.3990450350102,0.101553821966256,10.057890527537994,472.6360573529439,449657.9646924464,920780.5579139664,2447.1025341701084,5918.689068553268,2295.5780625073303,7278.408491737209,1168.708,55.34,0.00,,68.8450073056722,170.0,136236.47591114044,681.1823795557023,6.877851166757898,0.14539424825492162,0.1460946976573175
0107_E12_GovReport-GAO-3.5K_high_poisson_14B_qps-auto-high_burst-1_seed-0_mb-2,E12,GovReport-GAO-3.5K,high_poisson,14B,Qwen/Qwen2.5-14B,0.208650098,1,0,200,2,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.5K.jsonl,200,0,1733.7639657838736,0.11535595614341627,11.60653952736983,537.0534965404117,312574.8025356827,677314.0016858069,2020.7948033570435,3929.489650018512,1983.72889039201,5550.284348316491,957.545,40.99,45.92,,87.63166114635236,167.0,152797.52693343163,763.9876346671581,7.593178300125808,0.13169715769527388,0.13244687337360772
0108_E12_GovReport-GAO-3.5K_high_poisson_14B_qps-auto-high_burst-1_seed-0_mb-4,E12,GovReport-GAO-3.5K,high_poisson,14B,Qwen/Qwen2.5-14B,0.208650098,1,0,200,4,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.5K.jsonl,200,0,1876.696998605039,0.10657021359796562,11.275128598664763,496.7029843884662,371353.46634175745,769891.0911362034,2085.2915127006568,3523.578312261961,2064.730455975345,4841.05233210139,994.431,29.72,67.28,,102.8122340996595,166.0,193866.28561758995,969.3314280879498,9.161922760755669,0.10914739472410928,0.1096671879315003
0112_E08_GovReport-GAO-3.8K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-1,E08,GovReport-GAO-3.8K,medium_poisson,3B,Qwen/Qwen2.5-3B,0.242772258,1,0,200,1,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,200,0,864.0683586790692,0.2314631683837455,26.943470115709896,1156.140009023338,5872.953252972802,16607.170108039863,686.9893021001616,1347.5989867110202,675.056103170589,2678.61746288836,265.452,60.21,0.00,,55.77099431062076,152.0,48712.89169406891,243.56445847034453,2.0923882863308667,0.4779227672668548,0.48310901479801865
0113_E08_GovReport-GAO-3.8K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-2,E08,GovReport-GAO-3.8K,medium_poisson,3B,Qwen/Qwen2.5-3B,0.242772258,1,0,200,2,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,200,0,868.7956714360043,0.23020372519746382,26.70938721603574,1149.7617136477409,3438.2447217591107,9806.888346078338,544.3735636098758,864.3108396805321,541.6985552650292,1879.6293597947806,247.025,46.03,47.21,,66.43193277069605,154.0,58363.973687171936,291.8198684358597,2.5151464635712966,0.3975911599915673,0.402056452402625
0114_E08_GovReport-GAO-3.8K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-4,E08,GovReport-GAO-3.8K,medium_poisson,3B,Qwen/Qwen2.5-3B,0.242772258,1,0,200,4,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,200,0,888.5518968841061,0.22508533345248827,26.758144440831806,1124.8403199687978,3972.7028222440276,10728.419952862896,802.4544221175341,1194.9598537912907,805.8574485009698,2038.0821852013469,364.306,35.23,69.70,,70.27351402384741,141.0,63098.99230051041,315.49496150255203,2.653894359880148,0.3768047496981608,0.38077140175104085
0115_E11_GovReport-GAO-3.8K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-1,E11,GovReport-GAO-3.8K,high_poisson,3B,Qwen/Qwen2.5-3B,0.485544515,1,0,200,1,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,200,0,839.9751548720524,0.23810228057336366,28.0210668892763,1189.6066142006396,150954.1999651771,366252.0043287123,2647.582687394707,3665.2521678731605,2655.157899975949,4209.062522556633,1022.340,58.86,0.00,,53.29297969492591,145.0,45313.829733371735,226.56914866685867,1.925216881224104,0.5194219985044872,0.525792835185461
0116_E11_GovReport-GAO-3.8K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-2,E11,GovReport-GAO-3.8K,high_poisson,3B,Qwen/Qwen2.5-3B,0.485544515,1,0,200,2,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,200,0,695.274204203859,0.28765629271262116,35.33426071535482,1438.6697995582679,86484.74489202257,214886.93432408615,2095.0327530950635,2902.1983557281465,2082.0077708801928,3494.8696310212836,786.273,48.84,40.39,,65.17870146466488,156.0,45944.26968598366,229.7213484299183,1.870161993160893,0.5347130375106326,0.5421136033909861
0117_E11_GovReport-GAO-3.8K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-4,E11,GovReport-GAO-3.8K,high_poisson,3B,Qwen/Qwen2.5-3B,0.485544515,1,0,200,4,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,200,0,662.0246996311471,0.3021035319549735,36.34456541184309,1510.1611776071609,69119.55672290875,164153.1044214172,1960.7230928252425,2601.7770203314367,1955.6594686734222,2913.938184315348,776.489,39.96,60.95,,71.83426627634454,153.0,48288.19755625725,241.44098778128625,2.0069073420164267,0.4982791078910781,0.5059502559965812
0121_E09_GovReport-GAO-3.8K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-1,E09,GovReport-GAO-3.8K,medium_poisson,7B,Qwen/Qwen2.5-7B,0.164868724,1,0,200,1,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,200,0,1269.6738055250607,0.1575207735480469,19.085216923081358,787.5526734888313,8626.605364581337,24668.982639322054,895.9249480893999,1768.5135838458327,898.1879716375745,3824.1043803538196,366.266,58.25,0.00,,66.2651180076408,162.0,84757.03304958344,423.7851652479172,3.4977316378996135,0.2858995782193569,0.2880130224906671
0122_E09_GovReport-GAO-3.8K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-2,E09,GovReport-GAO-3.8K,medium_poisson,7B,Qwen/Qwen2.5-7B,0.164868724,1,0,200,2,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,200,0,1273.8200484269764,0.15700804854420164,18.86687215331399,784.8329920969298,4345.487089854432,10258.920984065626,655.4158042769592,1009.580643574348,658.6126798254073,2497.374550262466,315.206,43.91,46.27,,82.9519952176862,161.0,106441.12670516968,532.2056335258484,4.428957129994993,0.22578678696786808,0.22744325924654052
0123_E09_GovReport-GAO-3.8K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-4,E09,GovReport-GAO-3.8K,medium_poisson,7B,Qwen/Qwen2.5-7B,0.164868724,1,0,200,4,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,200,0,1300.5287757029291,0.15378360228277227,18.693934693493798,768.9295451840326,4769.08557267976,12158.082121794574,973.2653744604434,1339.911361922763,976.831107531605,2607.199206650257,453.221,32.68,68.33,,94.11612205229676,157.0,123329.03873825073,616.6451936912537,5.072764015229135,0.1971311886375677,0.1986262744984997
0124_E12_GovReport-GAO-3.8K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-1,E12,GovReport-GAO-3.8K,high_poisson,7B,Qwen/Qwen2.5-7B,0.329737447,1,0,200,1,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,200,0,1212.2786120078526,0.16497857672234878,20.564579588440775,825.4150408070701,218199.513372418,524341.9235701532,3813.4074005104917,5282.156766179167,3803.2020640789124,5892.365334108472,1490.759,57.20,0.00,,57.19239551925032,159.0,69839.65399646759,349.19826998233793,2.801430164318796,0.35696053135172934,0.3595684251679748
0125_E12_GovReport-GAO-3.8K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-2,E12,GovReport-GAO-3.8K,high_poisson,7B,Qwen/Qwen2.5-7B,0.329737447,1,0,200,2,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,200,0,953.4956042701378,0.20975450658012407,26.399702198174413,1049.6902088669083,101272.91787011782,258011.507729392,2819.9358435878735,3983.0596535389977,2832.706661261132,4759.414265551604,1052.584,46.36,40.87,,72.99578407501457,165.0,70336.50209379196,351.68251046895983,2.794235741847766,0.3578796108801909,0.361660642908426
0126_E12_GovReport-GAO-3.8K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-4,E12,GovReport-GAO-3.8K,high_poisson,7B,Qwen/Qwen2.5-7B,0.329737447,1,0,200,4,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,200,0,887.3216894262005,0.22539739801619516,27.483831727104754,1127.088418910083,72763.26185097918,170789.77460779244,2594.4495608074367,3441.1999213040176,2583.9681546978036,3855.843366147019,1012.728,37.08,61.14,,86.26702426135269,173.0,77412.4135131836,387.06206756591797,3.1743311400821583,0.31502699493856773,0.3185902372596085
0130_E10_GovReport-GAO-3.8K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-1,E10,GovReport-GAO-3.8K,medium_poisson,14B,Qwen/Qwen2.5-14B,0.0951763489,1,0,200,1,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,200,0,2209.728248466039,0.09050886693367706,8.361661671667754,449.9105266406153,33125.45534651261,99381.76430278922,2053.907622584418,6737.736591739813,1864.4832409493079,7270.138486111537,849.836,54.78,0.00,,70.5293778631971,162.0,156541.44208812714,782.7072104406357,8.47223261828907,0.11803264205013597,0.11855572706009858
0131_E10_GovReport-GAO-3.8K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-2,E10,GovReport-GAO-3.8K,medium_poisson,14B,Qwen/Qwen2.5-14B,0.0951763489,1,0,200,2,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,200,0,2210.145469669951,0.09049178108166188,9.252784615599927,450.71829599920363,14336.79724429734,49696.12375718307,1427.9555803039652,3175.4075119580375,1387.2967538684836,5314.690934342798,663.044,40.16,45.98,,92.46376058740717,170.0,205345.66773486137,1026.7283386743068,10.041352945469994,0.09958817356889492,0.10006930884941838
0132_E10_GovReport-GAO-3.8K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-4,E10,GovReport-GAO-3.8K,medium_poisson,14B,Qwen/Qwen2.5-14B,0.0951763489,1,0,200,4,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,200,0,2265.0437340030912,0.08829851582888998,9.179955198150546,439.9455891471277,17766.815655496903,75730.7932394067,1830.025309744916,2604.077274264171,1825.3227292336358,4785.900727910921,865.450,28.89,68.15,,104.04715372580303,169.0,236690.48520350456,1183.4524260175228,11.383181128432865,0.08784890521527448,0.08822879693895919
0133_E13_GovReport-GAO-3.8K_high_poisson_14B_qps-auto-high_burst-1_seed-0_mb-1,E13,GovReport-GAO-3.8K,high_poisson,14B,Qwen/Qwen2.5-14B,0.190352698,1,0,200,1,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,200,0,2075.8767383592203,0.09634483411480425,9.13782579161861,479.1575441932029,452778.4669801686,936830.9059422137,2407.3919138634433,3971.238877602169,2359.4732569205894,7345.827108882368,1186.994,55.03,0.00,,70.42431607143246,162.0,146918.71974015236,734.5935987007618,7.745201103914406,0.1291122059431875,0.1297538449979404
