run_id,scenario_id,dataset,scenario,model_label,model,request_rate,burstiness,seed,num_prompts,micro_batch,max_model_len,host,port,pp_size,tp_size,dtype,dataset_name,dataset_path,dataset_extra_args
0046_E09_GovReport-GAO-3.5K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-4,E09,GovReport-GAO-3.5K,medium_poisson,14B,Qwen/Qwen2.5-14B,auto-medium,1,0,200,4,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.5K.jsonl,--custom-output-len 128 --skip-chat-template
0047_E12_GovReport-GAO-3.5K_high_poisson_14B_qps-auto-high_burst-1_seed-0_mb-2,E12,GovReport-GAO-3.5K,high_poisson,14B,Qwen/Qwen2.5-14B,auto-high,1,0,200,2,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.5K.jsonl,--custom-output-len 128 --skip-chat-template
0048_E12_GovReport-GAO-3.5K_high_poisson_14B_qps-auto-high_burst-1_seed-0_mb-4,E12,GovReport-GAO-3.5K,high_poisson,14B,Qwen/Qwen2.5-14B,auto-high,1,0,200,4,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.5K.jsonl,--custom-output-len 128 --skip-chat-template
0049_E08_GovReport-GAO-3.8K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-2,E08,GovReport-GAO-3.8K,medium_poisson,3B,Qwen/Qwen2.5-3B,auto-medium,1,0,200,2,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,--custom-output-len 128 --skip-chat-template
0050_E08_GovReport-GAO-3.8K_medium_poisson_3B_qps-auto-medium_burst-1_seed-0_mb-4,E08,GovReport-GAO-3.8K,medium_poisson,3B,Qwen/Qwen2.5-3B,auto-medium,1,0,200,4,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,--custom-output-len 128 --skip-chat-template
0051_E11_GovReport-GAO-3.8K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-2,E11,GovReport-GAO-3.8K,high_poisson,3B,Qwen/Qwen2.5-3B,auto-high,1,0,200,2,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,--custom-output-len 128 --skip-chat-template
0052_E11_GovReport-GAO-3.8K_high_poisson_3B_qps-auto-high_burst-1_seed-0_mb-4,E11,GovReport-GAO-3.8K,high_poisson,3B,Qwen/Qwen2.5-3B,auto-high,1,0,200,4,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,--custom-output-len 128 --skip-chat-template
0053_E09_GovReport-GAO-3.8K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-2,E09,GovReport-GAO-3.8K,medium_poisson,7B,Qwen/Qwen2.5-7B,auto-medium,1,0,200,2,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,--custom-output-len 128 --skip-chat-template
0054_E09_GovReport-GAO-3.8K_medium_poisson_7B_qps-auto-medium_burst-1_seed-0_mb-4,E09,GovReport-GAO-3.8K,medium_poisson,7B,Qwen/Qwen2.5-7B,auto-medium,1,0,200,4,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,--custom-output-len 128 --skip-chat-template
0055_E12_GovReport-GAO-3.8K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-2,E12,GovReport-GAO-3.8K,high_poisson,7B,Qwen/Qwen2.5-7B,auto-high,1,0,200,2,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,--custom-output-len 128 --skip-chat-template
0056_E12_GovReport-GAO-3.8K_high_poisson_7B_qps-auto-high_burst-1_seed-0_mb-4,E12,GovReport-GAO-3.8K,high_poisson,7B,Qwen/Qwen2.5-7B,auto-high,1,0,200,4,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,--custom-output-len 128 --skip-chat-template
0057_E10_GovReport-GAO-3.8K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-2,E10,GovReport-GAO-3.8K,medium_poisson,14B,Qwen/Qwen2.5-14B,auto-medium,1,0,200,2,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,--custom-output-len 128 --skip-chat-template
0058_E10_GovReport-GAO-3.8K_medium_poisson_14B_qps-auto-medium_burst-1_seed-0_mb-4,E10,GovReport-GAO-3.8K,medium_poisson,14B,Qwen/Qwen2.5-14B,auto-medium,1,0,200,4,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,--custom-output-len 128 --skip-chat-template
0059_E13_GovReport-GAO-3.8K_high_poisson_14B_qps-auto-high_burst-1_seed-0_mb-2,E13,GovReport-GAO-3.8K,high_poisson,14B,Qwen/Qwen2.5-14B,auto-high,1,0,200,2,6144,127.0.0.1,8000,2,1,float16,custom,/workspace/DATASET/vllm_custom/gov_report_gao_3.8K.jsonl,--custom-output-len 128 --skip-chat-template
